Center,Model,Ensemble,Grid,historical_Version,piControl_Version,ssp585_Version
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,v20190710,v20190710,v20190710
NCC,NorESM2-LM,r1i1p1f1,gm,v20190815,v20190920,v20191108
NCC,NorESM2-MM,r1i1p1f1,gm,v20191108,v20191108,v20191108
MRI,MRI-ESM2-0,r1i1p1f1,gm,v20191205,v20191224,v20200120
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,v20180803,v20200326,v20190903
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,v20191115,v20191214,v20191115
CCCma,CanESM5,r1i1p1f1,gn,v20190429,v20190429,v20190429
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,v20200310,v20200312,v20200310
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,v20200225,v20200226,v20200225
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,v20190710,v20190710,v20190710
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,gn,v20191108,v20191112,v20191108
INM,INM-CM5-0,r1i1p1f1,gr1,v20190610,v20190619,v20190724
MIROC,MIROC6,r1i1p1f1,gm,v20200130,v20200130,v20200130
